[Sensor Definition]
Channel no.,Type,x,y,z,theta,phi,size,baseline
147,AxialGradioMeter,61.99,-80.90,85.73,61.87,296.05,15.50,50.00
148,AxialGradioMeter,92.90,-50.73,87.19,58.19,320.19,15.50,50.00
149,AxialGradioMeter,25.31,-26.50,138.85,20.10,302.69,15.50,50.00
150,AxialGradioMeter,105.58,18.70,92.26,53.45,12.34,15.50,50.00
151,AxialGradioMeter,97.81,41.18,95.87,51.50,29.24,15.50,50.00
152,AxialGradioMeter,38.82,-78.56,100.91,55.40,289.05,15.50,50.00
153,AxialGradioMeter,89.52,-4.64,107.41,43.48,352.57,15.50,50.00
154,AxialGradioMeter,85.97,-27.66,105.56,45.05,333.15,15.50,50.00
155,AxialGradioMeter,74.98,-47.02,103.48,48.05,317.62,15.50,50.00
156,AxialGradioMeter,-17.47,-81.12,105.10,53.26,260.86,15.50,50.00
157,Null Channel
158,Null Channel
159,Null Channel
160,Null Channel
161,Null Channel
162,Null Channel
163,Null Channel
164,Null Channel
165,Null Channel
166,Null Channel
167,Null Channel
168,Null Channel
169,Null Channel
170,Null Channel
171,Null Channel
172,Null Channel
173,Null Channel
174,Null Channel
175,Null Channel
176,Null Channel
177,Null Channel
178,Null Channel
179,Null Channel
180,Null Channel
181,Null Channel
182,Null Channel
183,Null Channel
184,Null Channel
185,Null Channel
186,Null Channel
187,Null Channel
188,Null Channel
189,Null Channel
190,Null Channel
191,Null Channel
